,,Technicka tlacitko 1_dlouhy,0/3/66,,,,DPST-1-1,Auto
,,Technicka tlacitko 1_LED,0/3/67,,,,DPST-5-5,Auto
,,Technicka tlacitko 2,0/3/68,,,,DPST-1-1,Auto
,,Technicka tlacitko 2_dlouhy,0/3/69,,,,DPST-1-1,Auto
,,Technicka tlacitko 2_LED,0/3/70,,,,DPST-5-5,Auto
,,Technicka tlacitko 3,0/3/71,,,,DPST-1-1,Auto
,,Technicka tlacitko 3_dlouhy,0/3/72,,,,DPST-1-1,Auto
,,Technicka tlacitko 3_LED,0/3/73,,,,DPST-5-5,Auto
,,Technicka tlacitko 4,0/3/74,,,,DPST-1-1,Auto
,,Technicka tlacitko 4_dlouhy,0/3/75,,,,DPST-1-1,Auto
,,Technicka tlacitko 4_LED,0/3/76,,,,DPST-5-5,Auto
,,Technicka tlacitko blokace,0/3/77,,,,DPST-1-1,Auto
,,Technicka tlacitko telpota,0/1/10,,,,DPST-9-1,Auto
,,Vychodni_pokoj  PIR jas,1/1/7,,,,DPST-9-4,Auto
,,Vychodni_pokoj  PIR pohyb,1/2/6,,,,DPST-1-1,Auto
,,Vychodni_pokoj  PIR telpota,1/1/6,,,,DPST-9-1,Auto
,,Vychodni_pokoj  tlacitko 1,1/3/38,,,,DPST-1-1,Auto
,,Vychodni_pokoj  tlacitko 1_dlouhy,1/3/34,,,,DPST-1-1,Auto
,,Vychodni_pokoj  tlacitko 1_LED,1/3/4,,,,DPST-5-5,Auto
,,Vychodni_pokoj  tlacitko 2,1/3/37,,,,DPST-1-1,Auto
,,Vychodni_pokoj  tlacitko 2_dlouhy,1/3/7,,,,DPST-1-1,Auto
,,Vychodni_pokoj  tlacitko 2_LED,1/3/3,,,,DPST-5-5,Auto
,,Vychodni_pokoj  tlacitko 3,1/3/36,,,,DPST-1-1,Auto
,,Vychodni_pokoj  tlacitko 3_dlouhy,1/3/6,,,,DPST-1-1,Auto
,,Vychodni_pokoj  tlacitko 3_LED,1/3/2,,,,DPST-5-5,Auto
,,Vychodni_pokoj  tlacitko 4,1/3/35,,,,DPST-1-1,Auto
,,Vychodni_pokoj  tlacitko 4_dlouhy,1/3/5,,,,DPST-1-1,Auto
,,Vychodni_pokoj  tlacitko 4_LED,1/3/1,,,,DPST-5-5,Auto
,,Vychodni_pokoj  tlacitko blokace,1/3/0,,,,DPST-1-1,Auto
,,Vychodni_pokoj  tlacitko teplota,1/1/3,,,,DPST-9-1,Auto
,,Zadveri PIR pohyb,0/2/11,,,,,Auto
,,Zadveri PIR telpota,0/1/9,,,,,Auto
,,Zachod PIR jas,0/1/19,,,,DPST-9-4,Auto
,,Zachod PIR pohyb,0/2/12,,,,DPST-1-1,Auto
,,Zachod PIR telpota,0/1/13,,,,DPST-9-1,Auto
,,Zachod tlacitko 1,0/3/39,,,,DPST-1-1,Auto
,,Zachod tlacitko 1_dlouhy,0/3/43,,,,DPST-1-1,Auto
,,Zachod tlacitko 1_LED,0/3/47,,,,DPST-5-5,Auto
,,Zachod tlacitko 2,0/3/40,,,,DPST-1-1,Auto
,,Zachod tlacitko 2_dlouhy,0/3/44,,,,DPST-1-1,Auto
,,Zachod tlacitko 2_LED,0/3/48,,,,DPST-5-5,Auto
,,Zachod tlacitko 3,0/3/41,,,,DPST-1-1,Auto
,,Zachod tlacitko 3_dlouhy,0/3/45,,,,DPST-1-1,Auto
,,Zachod tlacitko 3_LED,0/3/49,,,,DPST-5-5,Auto
,,Zachod tlacitko 4,0/3/42,,,,DPST-1-1,Auto
,,Zachod tlacitko 4_dlouhy,0/3/46,,,,DPST-1-1,Auto
,,Zachod tlacitko 4_LED,0/3/50,,,,DPST-5-5,Auto
,,Zachod tlacitko blokace,0/3/51,,,,DPST-1-1,Auto
,,Zachod tlacitko teplota,0/1/23,,,,DPST-9-1,Auto
1.NP,,,0/-/-,,,,,Auto
,Osvetleni,,0/0/-,,,,,Auto
,Mereni,,0/1/-,,,,,Auto
,Pritomnost,,0/2/-,,,,,Auto
,Tlacitka,,0/3/-,,,,,Auto
,Ostatni,,0/4/-,,,,,Auto
2.NP,,,1/-/-,,,,,Auto
,Osvetleni,,1/0/-,,,,,Auto
,Mereni,,1/1/-,,,,,Auto
,Pritomnost,,1/2/-,,,,,Auto
,Tlacitka,,1/3/-,,,,,Auto
,Ostatni,,1/4/-,,,,,Auto
Zahrada,,,2/-/-,,,,,Auto
